Country Name,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Ghana,Gross national expenditure (current US$),NE.DAB.TOTL.CD,1305475775,1437143933,1441346108,1637447619,1799931728,2250965204,2232755778,1791332014,1674753798,1973816976,2245425174,2525395042,1996736205,2854753700,2995031056,2784042553,,,,,,,,,4532583170,4636515231,5939849708,5405863946,5503322785,5651032055,6417497547,7168500938,7156630422,6933577407,6072929223,7009344197,7486284677,8309788277,8444026803,9072516811,5901883399,6355515458,6921972648,8848544702,10752171607,13460058174,23616656085,28875223537,34259052624,29437906940,36635583220,44223162055,46409862253,69053299944,58709849848,53815849973,59226787467,62072949563,67964720657,69668829550,72475794848,81579659348,74501018297,81228759824,81871888909
Ghana,Rural population (% of total population),SP.RUR.TOTL.ZS,76.748,76.203,75.648,75.085,74.512,73.933,73.344,72.746,72.14,71.527,71.042,70.826,70.608,70.39,70.171,69.951,69.73,69.508,69.286,69.062,68.837,68.612,68.386,68.158,67.791,67.104,66.409,65.707,64.996,64.281,63.559,62.83,62.095,61.356,60.61,59.86,59.104,58.346,57.582,56.816,56.071,55.399,54.725,54.049,53.37,52.692,52.012,51.331,50.649,49.969,49.287,48.606,47.927,47.252,46.581,45.914,45.251,44.593,43.94,43.293,42.651,42.015,41.385,40.762,40.146
Ghana,Female population,SP.POP.TOTL.FE.IN,3402983,3510587,3608526,3707613,3808323,3911440,4016613,4124220,4234805,4350251,4473875,4600319,4730655,4869959,5014306,5162453,5313549,5475225,5650067,5831724,6005550,6171766,6352550,6550087,6723743,6869761,7022303,7184454,7358036,7542614,7735488,7930394,8127176,8327319,8530629,8738146,8947239,9162969,9387262,9618135,9860638,10123040,10401243,10682004,10965049,11252882,11545647,11843569,12144756,12448621,12752437,13060547,13378562,13703178,14029963,14356569,14686334,15011792,15326382,15637515,15953563,16271078,16588340,16910369,17233172
Ghana,Annual population groeth rate,SP.POP.GROW,,2.852836957,2.409875158,2.388181603,2.380383381,2.399176079,2.405498861,2.415225184,2.434086696,2.501034469,2.6730404,2.767273417,2.814375651,2.886775185,2.900573315,2.89537295,2.878285914,2.947729892,3.03790622,3.05380908,2.924694147,2.809595304,2.905715248,3.007332556,2.581571407,2.150430203,2.200791731,2.29278306,2.40254861,2.498124316,2.551561856,2.519831776,2.485769411,2.469518199,2.404156515,2.360103481,2.335654971,2.378959574,2.432367719,2.441208076,2.51243584,2.663105441,2.7501377,2.699996233,2.648564224,2.622757231,2.599672365,2.577428818,2.537779829,2.495284986,2.43301424,2.404971455,2.41990908,2.409279309,2.364985531,2.307127331,2.276212039,2.195357928,2.075171366,2.0078052,1.991819851,1.959045844,1.920290343,1.908602897,1.875000103
Ghana,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,333.593,332.313,330.971,329.864,326.573,326.532,326.494,326.469,326.66,323.738,326.099,326.865,323.622,321.567,320.701,318.094,315.857,314.459,311.73,309.58,307.67,306.22,306.744,303.74,299.53,294.976,291.348,288.618,285.207,282.96,282.129,282.817,282.633,283.432,285.273,282.6,280.232,278.049,275.945,273.37,271.772,270.688,268.795,266.697,264.373,262.205,259.4,256.523,253.393,249.879,245.388,241.037,236.862,232.21,226.458,223.143,219.336,215.996,212.035,207.625,207.404,215.759,196.339,192.754,
Ghana,Population in largest city,EN.URB.LCTY,392582,411843,432079,453309,475613,498949,523464,549184,576206,604477,630670,650771,671541,692914,714998,737787,761334,785565,810602,836438,863134,890605,918990,948279,979183,1012501,1047000,1082675,1119617,1157713,1197161,1237952,1280192,1323752,1368857,1415498,1463797,1513604,1565177,1618508,1668240,1703765,1740097,1777203,1815154,1853807,1893339,1933713,1975006,2017063,2060076,2118385,2233146,2354124,2481656,2616097,2757821,2907222,3064718,3205586,3348062,3490030,3630326,3768239,3903481
Ghana,Urban population,SP.URB.TOTL,1618622,1704500,1786798,1872291,1961490,2054759,2152344,2254427,2361338,2474413,2584737,2677083,2774072,2876498,2983056,3093337,3207080,3327248,3454849,3587959,3721313,3854984,3997217,4148960,4306533,4493998,4691056,4900164,5123384,5360284,5609964,5868212,6134869,6410854,6693618,6983965,7283652,7597256,7927091,8269677,8626376,8994714,9385230,9786049,10197187,10620380,11056772,11506461,11967591,12439039,12919134,13411310,13921335,14445669,14979538,15520555,16072523,16626729,17175430,17726010,18287340,18855948,19430375,20015284,20606184
Ghana,Rural population,SP.RUR.TOTL,5342593,5458167,5550577,5642423,5734249,5827847,5922177,6017486,6114391,6215970,6341076,6499181,6664115,6838119,7017467,7200971,7387833,7584623,7793601,8009296,8220135,8426728,8646602,8880876,9064057,9167231,9274161,9388944,9513184,9646529,9784684,9919284,10049986,10178665,10299572,10415052,10526529,10641702,10760945,10880187,11010711,11172355,11344158,11510656,11671111,11829058,11983930,12135818,12282355,12423625,12555861,12683778,12812933,12940524,13062054,13175513,13284219,13381625,13462155,13532935,13600469,13662717,13718777,13772630,13821230
Ghana,Male population,SP.POP.TOTL.MA.IN,3558232,3652080,3728849,3807101,3887416,3971166,4057908,4147693,4240924,4340132,4451938,4575945,4707532,4844658,4986217,5131855,5281364,5436646,5598383,5765531,5935898,6109946,6291269,6479749,6646847,6791468,6942914,7104654,7278532,7464199,7659160,7857102,8057679,8262200,8462561,8660871,8862942,9075989,9300774,9531729,9776449,10044029,10328145,10614701,10903249,11196556,11495055,11798710,12105190,12414043,12722558,13034541,13355706,13683015,14011629,14339499,14670408,14996562,15311203,15621430,15934246,16247587,16560812,16877545,17194242
Ghana,Life expectancy at birth,SP.DYN.LE00.IN,46.942,47.127,47.335,47.476,47.637,47.689,47.708,47.734,47.758,47.895,47.888,47.949,48.274,48.577,48.918,49.323,49.732,50.079,50.461,50.787,51.059,51.313,51.425,51.78,52.232,52.732,53.276,53.818,54.396,54.936,55.395,55.722,56.055,56.286,56.234,56.662,56.957,57.241,57.525,57.835,58.139,58.403,58.709,59.014,59.316,59.638,59.975,60.282,60.578,60.928,61.297,61.617,61.995,62.397,62.832,63.175,63.522,63.829,64.138,64.455,64.309,64.286,65.246,65.498,
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,,3.429674015,4.109158606,4.405974199,2.209327502,1.36899887,-4.25829037,3.07536405,0.368860329,6.006174966,9.723472587,5.216124557,-2.487655402,2.884584195,6.852516832,-12.43162902,-3.530182806,2.274107242,8.475935602,-2.51494142,0.471695943,-3.503066947,-6.923650411,-4.563737505,8.647569457,5.091617272,5.19916068,4.794898879,5.628168764,5.0858727,3.328817883,5.281826398,3.87941908,4.850000554,3.299999739,4.112418972,4.602461156,4.19635744,4.700390784,4.399996825,3.700000082,4.000000128,4.499999559,5.200000133,5.599999991,5.900003819,6.399912606,4.346819104,9.149798938,4.844487052,7.899711941,14.04712358,9.292789406,7.312525017,2.856240163,2.120759338,3.37346575,8.128894881,6.200077681,6.507774794,0.513941671,5.076466435,3.80484981,3.140090998,5.684872604
Ghana,GDP per capita usd,NY.GDP.PCAP.CD,174.8588565,181.8700108,188.4210163,205.0374224,224.9681544,260.5055952,263.3345894,211.2192965,196.6685718,225.772622,248.1598694,263.4087879,223.8028638,309.5095523,289.4258568,272.9767152,260.9982958,292.2897981,325.5984767,346.6534038,372.2520264,343.7991267,319.2069103,311.3834382,329.9988889,329.7146049,410.7116584,355.1537249,355.1218449,349.9649419,382.5424637,418.2541213,396.4264076,359.8008441,320.5039034,371.537243,389.2712679,377.8419355,400.3667995,403.0373261,253.7469362,263.5421565,297.4616447,358.3992714,406.1321053,478.6119092,906.4410276,1050.124615,1182.657613,1047.704301,1263.892518,1507.435732,1543.775242,2294.795847,1949.908329,1722.772828,1912.479913,2012.286626,2195.32166,2186.658227,2195.454817,2445.186625,2229.891226,2383.904105,2405.794664
